product_id,sku,name,description,category,subcategory,brand,base_price,cost,current_price,currency,stock_quantity,reorder_point,supplier_id,weight_kg,dimensions,avg_rating,num_reviews,is_featured,is_bestseller,status,created_date,last_updated,tags
PRDSV49M2SW,BOO-MAQF2D,Professional Games Item,Others me word. Six relationship together she. Tend house say mouth build whom support. Threat international surface image house.,Books & Media,Games,elitewelch,42.46,21.74,44.800638431302104,USD,626.0,53.0,SUP0N25SS,5.27,37x46x17,5.0,97.0,False,False,Low Stock,2025-07-13 13:50:04.468563,2025-07-16 01:21:59.452626,"limited,sale,new,exclusive,books-&-media"
PRDQHNHIM26,HOM-9CXY9F,Smart Lighting Collection,Media stay travel nothing should Mr agency order. Support already sell produce song reason.,Home,Lighting,CoreSmith,842.24,370.82,698.6161479127624,USD,430.0,37.0,SUP0ZY4FR,2.4,6x32x16,4.02,2.0,False,False,Active,2025-01-22 21:22:20.669276,2025-04-17 07:13:52.457600,"eco-friendly,limited,sale,exclusive,lighting"
PRDJK4VR21C,BOO-PIK0S9,Ultra Movies Item,Visit discover debate young decision skin dog. Respond structure under commercial standard appear candidate. Apply thought bit hope power issue. Nor type show power second simply.,Books & Media,Movies,McintoshHub,44.88,27.45,43.54634641154691,USD,706.0,45.0,SUPJPTZ10,14.04,31x18x8,4.29,184.0,True,False,Active,2025-07-08 22:14:06.735886,2025-12-12 18:40:48.341660,"popular,eco-friendly,movies"
PRDA2D325GJ,ELE-7PRAGU,Professional Phones Device,Pm return visit material born. Bring clear system fire produce form maybe. Kid sister allow operation sport matter.,Electronics,Phones,Umbrella,1229.02,771.91,1144.699492071801,USD,695.0,51.0,SUPM3X9SB,14.52,79x26x39,,141.0,False,False,Active,2025-05-21 17:02:46.750214,2025-09-27 03:44:31.468093,"exclusive,new,sale,phones"
PRDK4E9TUR5,HOM-P3L8EX,Classic Kitchen Set,Officer great real present stock clear article training. Sister quality across would spend life. Night western water safe teach language head.,Home,Kitchen,MaxMcdonald,244.98,136.2,235.52679650343998,USD,581.0,82.0,SUPL5O8HO,3.9,70x42x44,2.75,2.0,False,False,Low Stock,2025-02-24 03:42:27.990492,2025-02-27 21:09:00.380610,"eco-friendly,exclusive,popular,new,kitchen"
PRDXFXRGKSP,FAS-AED75D,Deluxe Clothing Product,Final sing beat my memory responsibility. Deal and interview carry.,Fashion,Clothing,Globex,27.09,17.6,23.304326403877198,USD,397.0,34.0,SUPQUIWA1,9.04,74x87x7,4.46,87.0,False,False,Active,2025-05-20 20:31:47.743300,2025-09-10 13:07:33.970606,"popular,new,fashion"
PRD174JVQ1M,HEA-DH6096,Modern Personal Care Product,Power writer grow defense. Economic authority religious blue it present.,Health,Personal Care,EliteFranklin,67.32,37.05,67.37488039839799,USD,918.0,60.0,SUPO3KNAJ,13.01,48x98x19,4.08,9.0,True,False,Active,2025-06-26 18:45:50.953435,2025-07-30 06:41:00.049280,"limited,new,eco-friendly,health"
PRDT9QKNKBJ,HOM-OKI8K0,Classic Furniture Collection,Bill certain example mouth social.,Home,Furniture,Initech,2111.7522054468677,83.97,140.96870418536543,USD,898.0,22.0,SUP4CON27,,68x41x19,5.0,136.0,False,False,Active,2025-08-27 21:41:54.922439,2025-10-16 16:25:35.383010,"limited,furniture"
PRD425LU7M0,  FAS-A6ZDZ9,Deluxe Watches Solution,Training just when arm. Let teach enjoy nature across create. Window them per fast apply market shoulder.,Fashion,Watches,WashingtonHub,744.48,338.93,755.9161438631147,USD,110.0,82.0,SUPS84WS0,11.74,22x23x34,4.13,247.0,False,False,Active,2025-11-16 01:50:17.602475,2025-12-03 13:01:03.268218,"sale,limited,popular,fashion"
PRDZJ2F1OHE,HEA-1VCEH7,Premium Supplements Solution,Dog thus tree opportunity action. Control physical get compare different nothing class. Kind certainly hundred upon reason.,Health,Supplements,ZenCruz,152.98,91.61,138.3456599036548,USD,371.0,51.0,SUP7UFO3T,11.98,65x82x27,4.42,25.0,True,False,Active,2025-04-06 02:25:10.352863,2025-04-09 22:25:57.604641,"sale,exclusive,new,supplements"
PRD1YHSNKAV,BOO-CU2RPZ,Smart Movies Solution,Reveal interest spring best. Avoid example figure save within memory painting left.,Books & Media,Movies,HullHub,0.0,11.0,25.72086866806839,USD,848.0,15.0,SUPTR9FYK,14.81,30x37x39,4.03,1.0,False,False,Out of Stock,2025-04-21 14:46:55.410264,2025-10-16 05:44:56.981987,"exclusive,limited,sale,books-&-media"
PRD02LKID6U,BOO-RF7IWL,Ultra Games Solution,Recently her guy who plan international. Quite set task several clearly carry section. Front agent player down read stuff.,Books & Media,Games,RamosLabs,,19.2,29.777393317604833,USd,834.0,97.0,SUP9MUU6J,10.52,20x48x9,3.43,348.0,False,False,Active,2025-09-30 03:03:46.103695,2025-10-15 16:12:25.422410,"limited,eco-friendly,popular,sale,games"
PRDUAF5M3UK,HOM-BFC4G3,Essential Kitchen Kit,Edge knowledge to. Son house catch there. Good respond chance some entire.,Home,Kitchen,RichWorks,302.1,168.8,323.71106349434893,USD,55.0,71.0,SUPYFT7X7,15.9,69x56x26,3.69,67.0,False,False,Active,2025-05-02 19:52:37.366489,2025-09-13 11:35:34.071656,"popular,kitchen"
PRDJV0IJZ8K,HOM-7KS5TX,Ultra Kitchen System,Statement activity thought Democrat yeah. Writer seat building believe road course very speak. Meeting morning middle policy couple whom test. Win site expect middle test audience two rise.,Home,Kitchen,ObrienWorks,984.5,594.74,1014.1499013642467,USD,365.0,90.0,SUPQM8QQX,12.97,44x82x22,3.79,27.0,False,False,Active,2025-07-19 23:12:46.148539,2025-08-31 09:27:59.264279,"eco-friendly,kitchen"
PRDZAGJN6J0,HEA-RNFLWS,Deluxe Fitness Solution,Idea beyond term hope difficult short service. No school couple main. Could town step evidence recognize tree high eight.,Health,Fitness,WebsterPlus,41.34,18.53,43.39153995175415,USD,96.0,36.0,SUPCN9Q2N,3.73,38x43x24,3.35,109.0,True,False,Low Stock,2025-07-13 23:07:59.336356,2025-10-29 04:12:59.786872,"limited,fitness"
PRD8Q9JONRW,HEA-4K4HXO,Advanced Supplements Item,Like sport news huge sister stay whether support.,Health,Supplements,Wayne,236.71,136.89,263.75513721003296,USD,374.0,15.0,SUPDDCY3P,1.98,44x70x27,5.0,64.0,False,False,Low Stock,2025-08-28 02:09:01.094758,2025-09-24 16:40:51.263802,"limited,sale,eco-friendly,popular,supplements"
PRDRQYKDAES,ELE-9C69Z7,Classic Gaming Unit,Trade parent artist. Goal class plan official three mean. Theory place even. Might stand politics probably outside simply.,Electronics,Gaming,PrimeSchmidt,56.07,23.5,62.77636702928301,USD,783.0,13.0,SUPQ3TVCO,2.47,49X55X32,4.19,270.0,False,False,Active,2025-01-01 03:41:58.369045,2025-10-15 15:35:44.709165,"popular,electronics"
PRD8ATINY6V,ELE-602C8G,Classic Gaming Unit,Image public story his risk.,Electronics,Gaming,JohnstonTech,889.3,,1057.837672775446,USD,610.0,48.0,SUPM02FCI,18.63,64x6x22,4.08,386.0,True,False,Active,2025-10-11 14:18:37.441263,2025-10-21 19:15:50.035393,"eco-friendly,limited,popular,sale,electronics"
PRDE61MYV2N,ELE-MBRMP7,Smart Phones Kit,Paper word interesting when. Usually lot force blood leave. He how president.,Electronics,Phones,Initech,975.73,607.94,1080.0467069464544,USD,206.0,43.0,SUPLC7K1S,2.72,57x19x49,3.15,52.0,False,True,Low Stock,2025-08-04 05:49:21.076260,2025-10-10 12:52:39.639786,"sale,limited,electronics"
PRDRJ8LRGPK,HEA-DMDU3T,Premium Medical Product,Four glass know become senior stay agency standard. Fact mother how feeling rule recognize Mr couple.,Health,Medical,ReyesHub,191.67,131.8,187.42657838867487,USD,467.0,55.0,SUP7XX26A,2.44,64x25x21,4.32,7.0,False,False,Out of Stock,2025-10-05 00:46:37.342392,2025-11-23 14:44:16.854573,"eco-friendly,new,popular,medical"
PRDBX65SXM5,HOM-8V4IJM,NA,Crime test Congress occur short property. Keep set four.,Home,Kitchen,ReyesHub,159.13,106.4,154.47323023760387,USD,951.0,30.0,SUPLR425W,19.34,76x14x28,5.0,66.0,False,False,Low Stock,2025-03-12 04:25:03.410338,2025-06-20 17:31:24.279396,"limited,home"
PRD7810URA9,ELE-P49PBI,Advanced Gaming System,Join carry owner shoulder recent head manage. Major base culture particular guy front. Center several collection develop.,Electronics,Gaming,ZenJackson,471.1,279.05,555.8780468050624,USD,960.0,58.0,SUPI3SJ0U,13.55,100x25x12,4.01,47.0,False,False,Low Stock,2025-06-20 05:36:21.832437,2025-08-08 18:16:15.734877,"limited,electronics"
PRD1KVICJDY,HEA-E6OBEC,Ultra Medical Solution,How business read. Program record can red fine. Really skin door.,Health,MEDICAL,Umbrella,25.48,17.64,27.30445901412299,USD,498.0,44.0,SUPBPE5AL,18.88,82x73x40,,122.0,False,False,Active,2025-03-16 12:26:12.043745,2025-07-26 19:41:55.433880,"popular,limited,medical"
PRD  WKJR1WU4,ELE-04TDKE,Advanced Wearables System,Early stock piece hard consider. Star memory minute instead resource read amount difference.,Electronics,Wearables,EliteOdonnell,1051.58,1387.7044191790476,1011.522742888125,USD,948.0,33.0,SUP0C4UHE,5.17,13x39x32,4.41,40.0,False,,Low Stock,2025-05-30 10:45:42.105335,2025-11-20 04:15:09.926851,"eco-friendly,sale,limited,electronics"
